,Candidate identification,Candidate name,Incumbent challenger status,Party code,Party affiliation,Total receipts,Transfers from authorized committees,Total disbursements,Transfers to authorized committees,Beginning cash,Ending cash,Contributions from candidate,Loans from candidate,Other loans,Candidate loan repayments,Other loan repayments,Debts owed by,Total individual contributions,Candidate state,Candidate district,Special election status,Primary election status,Runoff election status,General election status,General election percentage,Contributions from other political committees,Contributions from party committees,Coverage end date,Refunds to individuals,Refunds to committees,Affiliated Committee Id,Affiliated Committee Type,Affiliated Committee Name,Street one,Street two,City or town,State,ZIP code,lat,lon
971,H2GA10174,"ALVEY, ANDREW[REP]",O,2,REP,2173.36,0.0,2173.74,0.0,696.9,-546.48,50.0,0.0,0.0,0.0,0.0,0.0,2123.36,GA,10.0,,,,,,0.0,0.0,04/18/2022,0.0,0.0,C00781138,H,ANDREW ALVEY FOR CONGRESS,1411 LIPSCOMB RD,,SOCIAL CIRCLE,GA,30025.0,33.6559024,-83.6965808
972,H2GA10182,"CURRY, DAVID[REP]",O,2,REP,709674.0,0.0,709674.0,0.0,0.0,0.0,0.0,415000.0,0.0,0.0,0.0,0.0,293174.0,GA,10.0,,,,,,1500.0,0.0,06/30/2022,70625.0,0.0,C00781187,H,DAVID CURRY FOR CONGRESS,3018 EAST LAKE ROAD,,MCDONOUGH,GA,30252.0,33.473512,-84.0571651
973,H2GA10216,"SIMS, ALAN[REP]",O,2,REP,703865.17,0.0,703865.17,0.0,0.0,0.0,802.38,445500.0,0.0,11806.45,0.0,0.0,252508.43,GA,10.0,,,,,,4000.0,0.0,09/30/2022,4153.25,0.0,C00784975,H,ALAN SIMS FOR CONGRESS,PO BOX 783,,WINDER,GA,30680.0,33.9961051,-83.7001676
974,H2GA10224,"SWAN, MITCHELL[REP]",O,2,REP,301988.0,0.0,301988.0,0.0,0.0,0.0,0.0,66600.0,0.0,0.0,0.0,0.0,232288.0,GA,10.0,,,,,,3100.0,0.0,06/30/2022,19125.0,0.0,C00785261,H,MITCHELL SWAN FOR CONGRESS,3295 HWY 186,,GOOD HOPE,GA,30641.0,33.7783574,-83.5740249
975,H2GA10240,"WITT, PATRICK J[REP]",O,2,REP,553643.1,0.0,553643.1,0.0,0.0,0.0,3297.0,236000.0,0.0,236000.0,0.0,0.0,293954.1,GA,10.0,,,,,,18000.0,0.0,06/03/2022,78458.0,0.0,C00785493,H,PATRICK WITT FOR CONGRESS,PO BOX 89,,WATKINSVILLE,GA,30677.0,33.7832021,-83.3733417
976,H2GA10257,"RICHARDS, MATT[REP]",O,2,REP,327600.0,0.0,326790.94,0.0,0.0,809.06,0.0,305000.0,0.0,0.0,0.0,309666.93,22600.0,GA,10.0,,,,,,0.0,0.0,03/31/2022,1250.0,0.0,C00777631,H,MATT RICHARDS FOR CONGRESS,PO BOX 1109,,MONROE,GA,30655.0,33.7816885,-83.6960955
977,H2GA10265,"HEUSSNER, TODD[REP]",O,2,REP,16645.0,0.0,16645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14145.0,GA,10.0,,,,,,2500.0,0.0,09/30/2021,0.0,0.0,C00787143,H,TODD HEUSSNER FOR US CONGRESS,1812 CHAMPION CIRCLE,,EVANS,GA,30809.0,33.5559483,-82.1703788
978,H2GA10281,"JONES, VERNON[REP]",O,2,REP,532520.99,0.0,532489.09,0.0,0.0,31.9,0.0,0.0,0.0,0.0,0.0,0.0,524057.39,GA,10.0,,,,,,8250.0,0.0,09/30/2022,0.0,0.0,C00804286,H,VERNON JONES FOR CONGRESS,P.O. BOX 5570,,ATLANTA,GA,31107.0,32.157435,-82.907123
979,H4GA10071,"COLLINS, MICHAEL A JR[REP]",O,2,REP,1467857.85,7695.46,1270786.22,0.0,0.0,197071.63,0.0,531000.0,0.0,400000.0,0.0,286941.43,806062.39,GA,10.0,,,,,,123100.0,0.0,12/31/2022,3400.0,0.0,C00544684,H,COLLINS FOR CONGRESS,PO BOX 6491,,ATHENS,GA,30604.0,32.157435,-82.907123
980,H6GA09243,"BROUN, PAUL[REP]",C,2,REP,534697.16,0.0,534681.58,0.0,1349.02,1364.6,100.0,6053.0,0.0,2739.0,0.0,97638.88,501737.28,GA,10.0,,,,,,26800.0,0.0,12/31/2022,56408.0,0.0,C00774778,H,PAUL BROUN FOR CONGRESS,PO BOX 6337,,ATHENS,GA,30604.0,32.157435,-82.907123
981,H0GA11036,"BARRETT, DANA[DEM]",C,1,DEM,0.0,0.0,9648.32,0.0,9648.32,0.0,0.0,0.0,0.0,5564.78,0.0,0.0,0.0,GA,11.0,,,,,,0.0,0.0,01/31/2022,0.0,0.0,C00721183,H,"DANA BARRETT FOR CONGRESS, INC.",309 SYCAMORE STREET,,DECATUR,GA,30030.0,33.7719469,-84.2902701
982,H0GA11044,"NUCKOLLS, HADEN ASHER[DEM]",C,1,DEM,0.0,0.0,0.0,0.0,3043.42,3043.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GA,11.0,,,,,,0.0,0.0,06/30/2021,0.0,0.0,C00726760,H,ASHER NUCKOLLS CITIZENS FOR,875 FRANKLIN GATEWAY SE APT 1235,APT 1235,MARIETTA,GA,30067.0,33.934278,-84.4621855
983,H2GA11214,"KILPATRICK, HEATHER[DEM]",C,1,DEM,40765.62,0.0,35315.9,0.0,0.0,5449.72,0.0,3234.75,0.0,0.0,0.0,3234.75,37396.12,GA,11.0,,,,,,0.0,0.0,09/30/2021,2100.0,0.0,C00768960,H,HEATHER KILPATRICK FOR CONGRESS LLC,POBOX 72,,LEBANON,GA,30146.0,32.157435,-82.907123
984,H2GA11222,"CANNON, BEAU ALEXANDER RYAN MR[DEM]",C,1,DEM,1773.0,0.0,1630.85,0.0,0.0,142.15,0.0,1000.0,250.0,0.0,0.0,1250.0,523.0,GA,11.0,,,,,,0.0,0.0,06/30/2021,0.0,0.0,C00770875,H,FRIENDS OF BEAU CANNON,732 TAYLOR DR SE,,SMYRNA,GA,30080.0,33.869656,-84.4988435
985,H2GA11230,"DAZA-FERNANDEZ, ANTONIO MIGUEL[DEM]",C,1,DEM,102176.81,0.0,102104.07,0.0,0.0,72.74,0.0,12000.0,0.0,0.0,0.0,12000.0,87106.81,GA,11.0,,,,,,3000.0,0.0,11/28/2022,0.0,0.0,C00774190,H,DAZA FOR GEORGIA,575 PHARR ROAD NE,UNIT 551013,ATLANTA,GA,30305.0,33.8356962,-84.3891162
986,H4GA11061,"LOUDERMILK, BARRY[REP]",I,2,REP,795499.29,10570.98,898241.73,0.0,372831.59,270089.15,0.0,0.0,0.0,0.0,0.0,0.0,313064.21,GA,11.0,,,,,,463790.0,100.0,12/31/2022,2400.0,-1000.0,C00543892,H,LOUDERMILK FOR CONGRESS,PO BOX 447,,CASSVILLE,GA,30123.0,32.157435,-82.907123
987,H2GA11248,"DAVIS, ANGELA GRACE[IND]",C,3,IND,738.17,0.0,738.17,0.0,0.0,0.0,344.92,0.0,0.0,0.0,0.0,0.0,393.25,GA,11.0,,,,,,0.0,0.0,04/15/2022,375.0,0.0,C00781435,H,ANGELA GRACE DAVIS FOR THE PEOPLE,206 TOWNE RIDGE DRIVE,,WOODSTOCK,GA,30188.0,34.1235276,-84.4576494
988,H0GA12059,"JOHNSON, ELIZABETH[DEM]",C,1,DEM,194751.23,0.0,193938.25,0.0,0.0,812.98,0.0,350.0,0.0,0.0,0.0,9883.1,184033.82,GA,12.0,,,,,,9000.0,0.0,12/31/2022,12.0,0.0,C00722991,H,"COMMITTEE TO ELECT LIZ JOHNSON, LLC",27 HILL STREET,P O BOX 1404,STATESBORO,GA,30459.0,32.157435,-82.907123
989,H2GA12113,"MCLEOD, DANIEL WRIGHT[REP]",C,2,REP,60.0,0.0,60.0,0.0,124.99,124.99,0.0,60.0,0.0,0.0,0.0,142912.0,0.0,GA,12.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,C00505255,H,WRIGHT MCLEOD FOR CONGRESS,4420 EVANS TO LOCKS ROAD,,EVANS,GA,30809.0,33.5559483,-82.1703788
990,H2GA12121,"ALLEN, RICHARD W[REP]",I,2,REP,990712.76,7372.54,778377.83,0.0,646909.38,859244.31,0.0,0.0,0.0,0.0,0.0,1125000.0,656840.22,GA,12.0,,,,,,326500.0,0.0,12/31/2022,32.26,0.0,C00504019,H,RICK W. ALLEN FOR CONGRESS,P. O. BOX 338,,AUGUSTA,GA,30903.0,33.4901485,-82.1626878
991,H2GA12154,"SINGLETON, NEIL[REP]",C,2,REP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GA,12.0,,,,,,0.0,0.0,03/31/2021,0.0,0.0,C00769422,H,FRIENDS OF NEIL SINGLETON FOR CONGRESS,1701 LITTLE FLOCK CHURCH RD,,COLLINS,GA,30421.0,32.1795992,-82.1075665
992,H2GA13012,"SCOTT, DAVID ALBERT[DEM]",I,1,DEM,2007965.55,0.0,1833004.1,0.0,461648.48,636609.93,250.0,0.0,0.0,0.0,0.0,27100.0,316678.01,GA,13.0,,,,,,1690525.0,0.0,12/31/2022,0.0,3475.0,C00369801,H,DAVID SCOTT FOR CONGRESS,P.O. BOX 960821,,RIVERDALE,GA,30296.0,33.5631854,-84.4411513
993,H2GA13087,"BAKER, MARK[DEM]",C,1,DEM,122085.0,0.0,118944.24,0.0,632.0,3772.76,0.0,107000.0,0.0,0.0,0.0,107000.0,15085.0,GA,13.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,C00796763,H,FRIENDS OF MARK BAKER,7235 BOULDER PASS,,UNION CITY,GA,30291.0,33.5723116,-84.5432922
994,H2GA13103,"FORT, VINCENT[DEM]",C,1,DEM,86927.71,0.0,67197.71,0.0,0.0,58.92,0.0,0.0,0.0,0.0,0.0,0.0,74527.71,GA,13.0,,,,,,5550.0,0.0,12/31/2022,6850.0,0.0,C00801605,H,FORT FOR CONGRESS,P O BOX 312245,,ATLANTA,GA,31131.0,32.157435,-82.907123
995,H0GA13131,"HITES, BECKY E[REP]",C,2,REP,0.0,0.0,573.72,0.0,573.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GA,13.0,,,,,,0.0,0.0,05/20/2021,0.0,0.0,C00736074,H,BECKY E. HITES FOR CONGRESS COMMITTEE,"6000 STEWART PARKWAY, #5532",,DOUGLASVILLE,GA,30154.0,32.157435,-82.907123
996,H0GA13149,"GONZALES, CAESAR[REP]",C,2,REP,19033.64,0.0,18511.88,0.0,79.15,600.91,0.0,2000.0,0.0,0.0,0.0,2524.31,13692.7,GA,13.0,,,,,,0.0,0.0,10/19/2022,23.5,0.0,C00792846,H,CAESAR GONZALES FOR CONGRESS,7255 COWAN MILL ROAD,,WINSTON,GA,30187.0,33.6625485,-84.8472331
997,H2GA13079,"PLOTKY, CALINA[REP]",C,2,REP,19934.0,0.0,17246.66,0.0,0.0,2687.34,0.0,4000.0,0.0,0.0,0.0,4000.0,15934.0,GA,13.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,C00794412,H,CALINA FOR CONGRESS,75 S HIGH ST,STE 4,DUBLIN,OH,43017.0,40.1166209,-83.1304999
998,H2GA13137,"HAWKINS, DOMINIKA[REP]",C,2,REP,5520.0,0.0,5520.0,0.0,0.0,0.0,5220.0,0.0,0.0,0.0,0.0,0.0,300.0,GA,13.0,,,,,,0.0,0.0,03/31/2022,0.0,0.0,C00811067,H,HAWKINS FOR CONGRESS,3343 PEACHTREE RD NE STE 145,,ATLANTA,GA,30326.0,33.849518,-84.3639709
999,H8GA13027,"COWEN, MARTIN LINDSEY MR. III[LIB]",C,3,LIB,2789.31,0.0,2868.83,0.0,79.52,0.0,2787.27,0.0,0.0,385.36,0.0,0.0,0.0,GA,13.0,,,,,,0.0,0.0,01/19/2022,0.0,0.0,C00672352,H,COWEN FOR CONGRESS,8188 PEMBROOK TERRACE,,JONESBORO,GA,30236.0,33.5239742,-84.3248626
1000,H0GA14097,"VAN AUSDAL, KEVIN[DEM]",O,1,DEM,0.0,0.0,23745.16,0.0,23745.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GA,14.0,,,,,,0.0,0.0,03/29/2021,0.0,0.0,C00732669,H,KEVIN FOR CONGRESS 2020,256 STEELE RD,,ROSSVILLE,GA,30741.0,34.9526849,-85.2812966
1001,H2GA14036,"CONNER, LATEEFAH B.[DEM]",C,1,DEM,109444.67,0.0,98223.59,0.0,0.0,0.0,2900.0,57452.51,0.0,38936.11,0.0,11063.89,49092.16,GA,14.0,,,,,,0.0,0.0,03/31/2022,0.0,0.0,C00768903,H,CONNER FOR CONGRESS,280 MERCHANTS DR.,#1895,DALLAS,GA,30132.0,33.9888324,-84.8589673
1002,H2GA14044,"FLOWERS, MARCUS[DEM]",C,1,DEM,16972737.74,0.0,16349414.34,1000.0,0.0,623323.4,100.0,18000.0,0.0,18000.0,0.0,0.0,16877851.42,GA,14.0,,,,,,23135.0,100.0,12/31/2022,312837.22,0.0,C00768101,H,MARCUS FOR GEORGIA,PO BOX 532,,ROME,GA,30162.0,32.157435,-82.907123
1003,H2GA14051,"MCCORMACK, HOLLY[DEM]",C,1,DEM,1893032.74,0.0,1874401.17,0.0,0.0,18631.57,0.0,0.0,0.0,0.0,0.0,78558.53,1889937.75,GA,14.0,,,,,,1000.0,0.0,06/30/2022,18407.35,0.0,C00801969,N,STOP QANON,790 NORTH BROOKHURST ST,#1056,ANAHEIM,CA,92801.0,33.8449834,-117.952151
1004,H2GA14077,"DAVIS, WENDY[DEM]",C,1,DEM,524060.17,0.0,524060.17,0.0,0.0,0.0,0.0,4985.13,0.0,4985.13,0.0,0.0,497550.04,GA,14.0,,,,,,21500.0,0.0,06/30/2022,10975.75,0.0,C00781567,H,WENDY FOR US,P.O. BOX 5135,,ROME,GA,30162.0,32.157435,-82.907123
1005,H0GA06192,"GREENE, MARJORIE TAYLOR MRS.[REP]",I,2,REP,12588124.11,208794.33,11001460.9,307500.0,371531.17,1958194.38,0.0,0.0,0.0,0.0,0.0,950000.0,12307019.18,GA,14.0,,,,,,48950.0,0.0,12/31/2022,20229.26,0.0,C00708289,H,GREENE FOR CONGRESS,3 CENTRAL PLAZA,NO. 142,ROME,GA,30161.0,34.2417333,-85.1715905
1006,H0GA14048,"COWAN, JOHN DR.[REP]",O,2,REP,150.0,0.0,11767.72,0.0,11617.72,0.0,0.0,0.0,0.0,10035.91,0.0,0.0,150.0,GA,14.0,,,,,,0.0,0.0,02/01/2022,0.0,0.0,C00734517,H,"JOHN COWAN FOR CONGRESS, INC.",1101 E 2ND AVENUE SE,,ROME,GA,30161.0,34.2417333,-85.1715905
1007,H0GA14089,"BARGE, JOHN D[REP]",O,2,REP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,0.0,GA,14.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,C00736959,H,JOHN BARGE FOR CONGRESS,PO BOX 572,,ROME,GA,30162.0,32.157435,-82.907123
1008,H0GA14113,"LAUGHRIDGE, MATTHEW[REP]",O,2,REP,0.0,0.0,20.0,0.0,419.34,399.34,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,GA,14.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,C00738096,H,"MATT LAUGHRIDGE FOR CONGRESS, INC.",555 METRO PLACE S,STE. 525,DUBLIN,OH,43017.0,40.1166209,-83.1304999
1009,H2GA14069,"CLAY, MARK DANIEL[REP]",C,2,REP,6000.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,GA,14.0,,,,,,0.0,0.0,01/30/2022,2285.4,0.0,C00778480,H,"MARK CLAY FOR CONGRESS, INC.",P O BOX 191286,,BROOKHAVEN,GA,31119.0,32.157435,-82.907123
1010,H2GA14093,"STRAHAN, JENNIFER[REP]",C,2,REP,434993.49,0.0,413088.16,0.0,0.0,21905.33,2900.0,0.0,0.0,0.0,0.0,0.0,363093.49,GA,14.0,,,,,,69000.0,0.0,12/31/2022,13815.0,10000.0,C00789230,H,STRAHAN FOR CONGRESS,PO BOX 2780,,DALLAS,GA,30132.0,33.9888324,-84.8589673
1011,H2GA14101,"LUTIN, CHARLES DAVID DOCTOR[REP]",C,2,REP,26717.28,0.0,26717.28,0.0,0.0,0.0,6125.0,0.0,0.0,0.0,0.0,0.0,20592.28,GA,14.0,,,,,,0.0,0.0,09/30/2022,0.0,0.0,C00792416,H,COMMITTEE TO ELECT LUTIN FOR CONGRESS,29 LULLWATER PLACE NE,,ATLANTA,GA,30307.0,33.7710793,-84.3336004
1012,H2GA14119,"CUNNINGHAM, ERIC B[REP]",C,2,REP,1656.04,0.0,2261.94,0.0,7485.06,2351.66,0.0,0.0,0.0,0.0,0.0,3909.79,1656.04,GA,14.0,,,,,,0.0,0.0,05/04/2022,0.0,0.0,C00794883,H,COMMITTEE TO ELECT ERIC CUNNINGHAM FOR CONGRESS,5111 WALDENBROOKE CT,,ACWORTH,GA,30101.0,34.0345154,-84.7073487
1013,H2GA14135,"HAYGOOD, WALTER JAMES[REP]",C,2,REP,15158.9,0.0,14484.35,0.0,0.0,674.55,0.0,12048.9,0.0,0.0,0.0,12048.9,3110.0,GA,14.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,C00805978,H,HAYGOOD FOR CONGRESS,1765 FOLSOM RD SE,,RYDAL,GA,30171.0,34.3435513,-84.725681
1014,H2GA14143,"SYNSTELIEN, SETH[REP]",C,2,REP,11345.48,0.0,11265.12,0.0,0.0,80.36,185.0,6252.72,0.0,0.0,0.0,0.0,4907.76,GA,14.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,C00809053,H,SYNSTELIEN FOR THE 14TH,2537 CEDARCREST RD SUITE 305,#310,ACWORTH,GA,30101.0,34.0345154,-84.7073487
1015,H2GA14085,"PENCE, ANGELA[LIB]",C,3,LIB,6859.79,0.0,4410.58,0.0,-323.62,2125.59,0.0,0.0,0.0,0.0,0.0,0.0,4513.96,GA,14.0,,,,,,0.0,2345.83,03/31/2022,0.0,0.0,C00784421,H,FRIENDS TO ELECT ANGELA,P.O. BOX 124,,CHICKAMAUGA,GA,30707.0,34.7719501,-85.3591925
1016,H0GU01035,"UNDERWOOD, ROBERT ANACLETUS[DEM]",C,1,DEM,0.0,0.0,29.0,0.0,141.97,112.97,0.0,0.0,0.0,0.0,0.0,9500.0,0.0,GU,0.0,,,,,,0.0,0.0,04/14/2021,0.0,0.0,C00750547,H,COMMITTEE TO ELECT ROBERT A. UNDERWOOD,109 ELAINE STREET,,TAMUNING,GU,96913.0,13.4443,144.7937
1017,H2GU00025,"UNDERWOOD, ROBERT ANACLETUS[DEM]",C,1,DEM,0.0,0.0,29.0,0.0,141.97,112.97,0.0,0.0,0.0,0.0,0.0,9500.0,0.0,GU,0.0,,,,,,0.0,0.0,04/14/2021,0.0,0.0,C00750547,H,,,,,,,0.0,0.0
1018,H2GU01049,"NELSON, TELENA C.[DEM]",C,1,DEM,18845.0,0.0,18748.84,0.0,0.0,96.16,0.0,0.0,0.0,0.0,0.0,0.0,18845.0,GU,0.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,C00813683,H,NELSON FOR CONGRESS,P.O. BOX 24634,,BARRIGADA,GU,96921.0,13.4443,144.7937
1019,H2GU01056,"PAT, JUDITH T WON[DEM]",C,1,DEM,99229.99,0.0,88547.3,0.0,0.0,-19117.61,0.0,0.0,0.0,0.0,0.0,-15000.0,94802.49,GU,0.0,,,,,,0.0,4000.0,11/28/2022,0.0,0.0,C00813881,H,WON PAT FOR CONGRESS,POB 2246,,HAGATNA,GU,96932.0,13.4443,144.7937
1020,H8GU01020,"SAN NICOLAS, MICHAEL F.Q. MR.[DEM]",I,1,DEM,14525.0,0.0,19778.48,0.0,20864.33,15610.85,0.0,0.0,0.0,1500.0,0.0,14303.57,11550.0,GU,0.0,,,,,,2975.0,0.0,12/31/2022,0.0,0.0,C00668335,H,MICHAEL SAN NICOLAS FOR CONGRESS,198 W. SANTA BARBARA AVE.,,DEDEDO,GU,96929.0,13.4443,144.7937
1021,H0GU01027,"CASTRO, WILLIAM MENDIOLA[REP]",C,2,REP,0.0,0.0,0.0,0.0,-5109.81,-5109.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GU,0.0,,,,,,0.0,0.0,09/30/2021,0.0,0.0,C00749192,H,COMMITTEE TO ELECT WIL CASTRO FOR CONGRESS (4 WIL DRIVE),P.O. BOX 21152,,GMF,GU,96921.0,13.4443,144.7937
1022,H2GU01031,"MOYLAN, JAMES C.[REP]",C,2,REP,115334.62,0.0,109641.16,0.0,0.0,1226.58,100.0,0.0,0.0,0.0,0.0,0.0,110234.62,GU,0.0,,,,,,0.0,5000.0,12/31/2022,0.0,0.0,C00809343,H,JAMES MOYLAN FOR CONGRESS,P.O. BOX 6394,,HAGATNA,GU,96931.0,13.4443,144.7937
1023,H2HI01112,"ALCUBILLA, SERGIO JOSEPHUS MR. III[DEM]",C,1,DEM,107257.26,0.0,101128.64,0.0,0.0,6128.62,0.0,0.0,176.0,0.0,176.0,0.0,107081.26,HI,1.0,,,,,,0.0,0.0,06/30/2022,0.0,0.0,C00788695,H,SERGIO ALCUBILLA FOR CONGRESS,PO BOX 1991,,HONOLULU,HI,96805.0,19.898682,-155.665857
1024,H2HI02128,"CASE, EDWARD[DEM]",I,1,DEM,1058273.57,0.0,667444.59,0.0,116701.33,507530.31,0.0,0.0,0.0,0.0,0.0,0.0,495273.57,HI,1.0,,,,,,563000.0,0.0,12/31/2022,4200.0,3500.0,C00680918,H,CASE FOR CONGRESS,PO BOX 2941,,HONOLULU,HI,96802.0,19.898682,-155.665857
1025,H4HI01134,"TAKAI, KYLE MARK[DEM]",I,1,DEM,0.0,0.0,1500.0,0.0,2810.51,1310.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HI,1.0,,,,,,0.0,0.0,09/30/2022,0.0,0.0,C00548131,H,MARK TAKAI FOR CONGRESS,PO BOX 2267,,PEARL CITY,HI,96782.0,21.4173737,-157.9368665
1026,H8HI01200,"CHIN, DOUG[DEM]",O,1,DEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HI,1.0,,,,,,0.0,0.0,06/30/2021,0.0,0.0,C00663591,H,DOUG CHIN FOR HAWAI'I,PO BOX 2018,,HONOLULU,HI,96805.0,19.898682,-155.665857
1027,H0HI01298,"CURTIS, RON[REP]",C,2,REP,0.0,0.0,0.0,0.0,-109.32,-109.32,0.0,0.0,0.0,0.0,0.0,8834.16,0.0,HI,1.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,C00755421,H,RON CURTIS FOR HAWAII,1239 PUA MELIA STREET,,KALAHEO,HI,96741.0,21.9582875,-159.5120233
1028,H2HI02557,"KRESS, CONRAD[REP]",C,2,REP,82409.58,0.0,82409.58,0.0,0.0,0.0,638.21,2546.05,0.0,420.47,0.0,0.0,77925.44,HI,1.0,,,,,,1056.0,238.38,12/31/2022,400.0,0.0,C00807578,H,CONRAD KRESS FOR HAWAII,1054 HELE STREET,,KAILUA,HI,96734.0,21.3950837,-157.758188
1029,H8HI00012,"CAVASSO, CAMPBELL[REP]",O,2,REP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HI,1.0,,,,,,0.0,0.0,01/26/2022,0.0,0.0,C00680876,H,CAM CAVASSO 4 CONGRESS,41-530 WAIKUPANAHA STREET,,WAIMANALO,HI,96795.0,21.3350127,-157.7109242
1030,H0HI01058,"MATSUNAGA, MATTHEW[DEM]",C,1,DEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98909.97,0.0,HI,2.0,,,,,,0.0,0.0,09/30/2022,0.0,0.0,C00383562,H,FRIENDS OF MATT MATSUNAGA - CONGRESS,1888 KALAKAUA AVENUE #1703,#1703,HONOLULU,HI,96815.0,21.2734615,-157.8224438
1031,H0HI02155,"KAHELE, KAIALI'I[DEM]",I,1,DEM,518336.73,0.0,709995.45,0.0,193385.89,1727.17,0.0,0.0,0.0,0.0,0.0,0.0,215242.74,HI,2.0,,,,,,298500.0,0.0,12/31/2022,11085.79,3000.0,C00694604,H,KAHELE FOR CONGRESS,P.O. BOX 4952,,HILO,HI,96720.0,19.6598098,-155.2324728
1032,H2HI02508,"GABBARD, TULSI[DEM]",I,1,DEM,50.0,0.0,11775.76,0.0,128695.97,116970.21,0.0,0.0,0.0,0.0,0.0,0.0,50.0,HI,2.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,C00497396,H,TULSI FOR HAWAI'I,PO BOX 75561,,KAPOLEI,HI,96707.0,21.3631058,-158.0822064
1033,H2HI02573,"WATERS, TOMMY[DEM]",O,1,DEM,10800.0,0.0,10783.19,0.0,0.0,16.81,0.0,5000.0,0.0,5000.0,0.0,0.0,5800.0,HI,2.0,,,,,,0.0,0.0,05/27/2022,0.0,0.0,C00813675,H,TOMMY WATERS FOR CONGRESS,PO BOX 1043,,KANEOHE,HI,96744.0,21.4517334,-157.8242273
1034,H2HI02581,"TOKUDA, JILL NAOMI[DEM]",O,1,DEM,1042387.26,48570.29,841651.22,0.0,0.0,200736.04,0.0,25000.0,0.0,25000.0,0.0,0.0,746702.33,HI,2.0,,,,,,219700.0,0.0,12/31/2022,3.0,0.0,C00813758,H,TOKUDA FOR HAWAII,PO BOX 792,,KANEOHE,HI,96744.0,21.4517334,-157.8242273
1035,H2HI02599,"BRANCO, PATRICK PIHANA[DEM]",O,1,DEM,185979.32,0.0,185979.32,2292.79,0.0,0.0,1920.59,0.0,0.0,0.0,0.0,0.0,119818.51,HI,2.0,,,,,,64000.0,0.0,09/30/2022,6900.0,1500.0,C00814236,H,BRANCO FOR HAWAII,PO BOX 91,,KAILUA,HI,96734.0,21.3950837,-157.758188
1036,H2HI02623,"GI, NICOLE[DEM]",C,1,DEM,12325.0,0.0,8785.45,0.0,0.0,3539.55,0.0,12000.0,0.0,0.0,0.0,12000.0,325.0,HI,2.0,,,,,,0.0,0.0,09/30/2022,0.0,0.0,C00819490,H,NICOLE GI FOR HAWAII,4441 RICE ST,,LIHUE,HI,96766.0,21.9929081,-159.4016492
1037,H6HI01113,"HANNEMANN, MULIUFI F 'MUFI'[DEM]",O,1,DEM,15000.0,0.0,17361.41,0.0,3079.32,717.91,0.0,15000.0,0.0,0.0,0.0,344765.19,0.0,HI,2.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,C00501833,H,HANNEMANN FOR CONGRESS,P.O. BOX 39,,HONOLULU,HI,96810.0,19.898682,-155.665857
1038,H0HI02213,"AKANA, JOSEPH[REP]",C,2,REP,71641.86,0.0,70545.33,0.0,-810.08,-1052.3,365.0,45300.0,0.0,0.0,0.0,52800.0,25325.6,HI,2.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,C00742221,H,AKANA FOR CONGRESS,PO BOX 701318,,KAPOLEI,HI,96709.0,19.898682,-155.665857
1039,H2HI02607,"WEBSTER, JOSEPH E.[REP]",O,2,REP,62472.86,0.0,62472.86,0.0,0.0,0.0,305.66,60000.0,0.0,22138.03,0.0,0.0,2167.0,HI,2.0,,,,,,0.0,0.0,09/30/2022,0.0,0.0,C00816223,H,JOE WEBSTER FOR CONGRESS,75-5737 KUAKINI HIGHWAY,SUITE 202,KAILUA-KONA,HI,96740.0,19.7568198,-155.9199678
